comment_id,text,text_clean,text_filtered,tokens
13,"When you mentioned the hearing accessibility feature, I literally screamed! As a deaf person, I never hear things like the tap, the doorbell, the cat at the door etc. so I’m incredibly intrigued to see how well this feature works, because if it’s good, it will literally change my life!                 ETA: For those wondering, I use subtitles along with my hearing implants to hear what is said in videos. And rely on lip reading and the implants in everyday life. Just because I use assistive technology, doesn’t mean I am not deaf, because without this technology I would struggle to hear an air horn next to my head, and even with it, I still rely partially on lip reading to understand what is being said.",when you mentioned the hearing accessibility feature i literally screamed as a deaf person i never hear things like the tap the doorbell the cat at the door etc so im incredibly intrigued to see how well this feature works because if its good it will literally change my life eta for those wondering i use subtitles along with my hearing implants to hear what is said in videos and rely on lip reading and the implants in everyday life just because i use assistive technology doesnt mean i am not deaf because without this technology i would struggle to hear an air horn next to my head and even with it i still rely partially on lip reading to understand what is being said,mentioned hearing accessibility feature literally screamed deaf person never hear things like tap doorbell cat door etc im incredibly intrigued see well feature works good literally change life eta wondering use subtitles along hearing implants hear said videos rely lip reading implants everyday life use assistive technology doesnt mean deaf without technology would struggle hear air horn next head even still rely partially lip reading understand said,"['mentioned', 'hearing', 'accessibility', 'feature', 'literally', 'screamed', 'deaf', 'person', 'never', 'hear', 'things', 'like', 'tap', 'doorbell', 'cat', 'door', 'etc', 'im', 'incredibly', 'intrigued', 'see', 'well', 'feature', 'works', 'good', 'literally', 'change', 'life', 'eta', 'wondering', 'use', 'subtitles', 'along', 'hearing', 'implants', 'hear', 'said', 'videos', 'rely', 'lip', 'reading', 'implants', 'everyday', 'life', 'use', 'assistive', 'technology', 'doesnt', 'mean', 'deaf', 'without', 'technology', 'would', 'struggle', 'hear', 'air', 'horn', 'next', 'head', 'even', 'still', 'rely', 'partially', 'lip', 'reading', 'understand', 'said']"
14,"Can hide home pages 
Kids with strict parents: hell yeah",can hide home pages kids with strict parents hell yeah,hide home pages kids strict parents hell yeah,"['hide', 'home', 'pages', 'kids', 'strict', 'parents', 'hell', 'yeah']"
15,Asking Siri to open google assistant is like asking dominos for Pizza Hut’s number.,asking siri to open google assistant is like asking dominos for pizza huts number,asking siri open google assistant like asking dominos pizza huts number,"['asking', 'siri', 'open', 'google', 'assistant', 'like', 'asking', 'dominos', 'pizza', 'huts', 'number']"
16,Back tap is the most innovative feature Apple has come out with in the last 5 years,back tap is the most innovative feature apple has come out with in the last years,back tap innovative feature apple come last years,"['back', 'tap', 'innovative', 'feature', 'apple', 'come', 'last', 'years']"
17,I'm actually a huge fan of the little colored dots to know when something is using my camera and mic,i m actually a huge fan of the little colored dots to know when something is using my camera and mic,actually huge fan little colored dots know something using camera mic,"['actually', 'huge', 'fan', 'little', 'colored', 'dots', 'know', 'something', 'using', 'camera', 'mic']"
18,"""So I've had this beta for about...




A day now""

Not gonna lie, you had me in the first half.",so i ve had this beta for about a day now not gonna lie you had me in the first half,beta day gon lie first half,"['beta', 'day', 'gon', 'lie', 'first', 'half']"
19,"The ability to ignore a call without having to let it wait through is the most appreciated of all, you honestly have no clue",the ability to ignore a call without having to let it wait through is the most appreciated of all you honestly have no clue,ability ignore call without let wait appreciated honestly clue,"['ability', 'ignore', 'call', 'without', 'let', 'wait', 'appreciated', 'honestly', 'clue']"
20,To the person reading this I hope you become successful one day and have an amazing day I wish you the best and nothing but the best❤️❤️❤️,to the person reading this i hope you become successful one day and have an amazing day i wish you the best and nothing but the best,person reading hope become successful one day amazing day wish best nothing best,"['person', 'reading', 'hope', 'become', 'successful', 'one', 'day', 'amazing', 'day', 'wish', 'best', 'nothing', 'best']"
21,He could be another cameo for Google's maybe.,he could be another cameo for google s maybe,could another cameo google maybe,"['could', 'another', 'cameo', 'google', 'maybe']"
22,"""What is up guys, Google Assistant here.""",what is up guys google assistant here,guys google assistant,"['guys', 'google', 'assistant']"
23,Either him or MrWhoseTheBoss. They both sound so soothing.,either him or mrwhosetheboss they both sound so soothing,either mrwhosetheboss sound soothing,"['either', 'mrwhosetheboss', 'sound', 'soothing']"
24,Devarshi Dalal ergojosh tho very soothing,devarshi dalal ergojosh tho very soothing,devarshi dalal ergojosh tho soothing,"['devarshi', 'dalal', 'ergojosh', 'tho', 'soothing']"
25,Devarshi Dalal I agree 10 billion percent,devarshi dalal i agree billion percent,devarshi dalal agree billion percent,"['devarshi', 'dalal', 'agree', 'billion', 'percent']"
26, @devarshidalal3152  What about both?,what about both,,[]
27,Jerryrigeverything?,jerryrigeverything,jerryrigeverything,['jerryrigeverything']
28, @neonslayer8264   YESSSS,yessss,yessss,['yessss']
29,Neonslayer78 NO,neonslayer no,neonslayer,['neonslayer']
30,Neonslayer78 yes,neonslayer yes,neonslayer yes,"['neonslayer', 'yes']"
31,lmao,lmao,lmao,['lmao']
32,Righttt,righttt,righttt,['righttt']
33,Lmaoo ohhh truueee 😀😂😂😂,lmaoo ohhh truueee,lmaoo ohhh truueee,"['lmaoo', 'ohhh', 'truueee']"
34,yess,yess,yess,['yess']
35,Have chills,have chills,chills,['chills']
36,Mrwhostheboss and jerry rig everything as well,mrwhostheboss and jerry rig everything as well,mrwhostheboss jerry rig everything well,"['mrwhostheboss', 'jerry', 'rig', 'everything', 'well']"
37,Yes,yes,yes,['yes']
38,i change from 2.6 to 2.7 its soooo satisfying to watch lol,i change from to its soooo satisfying to watch lol,change soooo satisfying watch lol,"['change', 'soooo', 'satisfying', 'watch', 'lol']"
39,no way marques hearted this comment,no way marques hearted this comment,way marques hearted comment,"['way', 'marques', 'hearted', 'comment']"
40,i beg to differ,i beg to differ,beg differ,"['beg', 'differ']"
41,and if it was MICHAEL JACKSON'S voice 🤔🤔,and if it was michael jackson s voice,michael jackson voice,"['michael', 'jackson', 'voice']"
42,I need the caillu narrator,i need the caillu narrator,need caillu narrator,"['need', 'caillu', 'narrator']"
43,Google should do it.,google should do it,google,['google']
44,Book audio matey,book audio matey,book audio matey,"['book', 'audio', 'matey']"
45,s i g n e d ✍️,s i g n e d,,[]
46,"Nope, can’t think of anything else more worthy of being petitioned. Nope it’s getting a millionaire you tuber to be a phone assist voice",nope cant think of anything else more worthy of being petitioned nope its getting a millionaire you tuber to be a phone assist voice,nope cant think anything else worthy petitioned nope getting millionaire tuber phone assist voice,"['nope', 'cant', 'think', 'anything', 'else', 'worthy', 'petitioned', 'nope', 'getting', 'millionaire', 'tuber', 'phone', 'assist', 'voice']"
47,"What’s the watch MKBHD?
Marquess: “Tells Weather”
Thanks 
Marquess: catch you in the next one, Peace",whats the watch mkbhd marquess tells weather thanks marquess catch you in the next one peace,whats watch mkbhd marquess tells weather thanks marquess catch next one peace,"['whats', 'watch', 'mkbhd', 'marquess', 'tells', 'weather', 'thanks', 'marquess', 'catch', 'next', 'one', 'peace']"
48,Sign me up,sign me up,sign,['sign']
49,Frs,frs,frs,['frs']
50,I’m down,im down,im,['im']
51,YESSS😭,yesss,yesss,['yesss']
52,"True instead of hey siri, hey marques 💕",true instead of hey siri hey marques,true instead hey siri hey marques,"['true', 'instead', 'hey', 'siri', 'hey', 'marques']"
53,or Joe Rogan 😂,or joe rogan,joe rogan,"['joe', 'rogan']"
54,Aye!,aye,aye,['aye']
55,no,no,,[]
56,Is there any app for call recording free,is there any app for call recording free,app call recording free,"['app', 'call', 'recording', 'free']"
57,Please Google are you listening.. MKBHD skills be an option for voice assistant,please google are you listening mkbhd skills be an option for voice assistant,please google listening mkbhd skills option voice assistant,"['please', 'google', 'listening', 'mkbhd', 'skills', 'option', 'voice', 'assistant']"
58,Dislike,dislike,dislike,['dislike']
59,personally i dont like MrWhoseTheBoss but i guess he could be the uk assistand and mark can be u.s. assistant.,personally i dont like mrwhosetheboss but i guess he could be the uk assistand and mark can be u s assistant,personally dont like mrwhosetheboss guess could uk assistand mark assistant,"['personally', 'dont', 'like', 'mrwhosetheboss', 'guess', 'could', 'uk', 'assistand', 'mark', 'assistant']"
60,His voice doesn’t deserve to be one for Kia.  Mr whose the boss and Jerry rig yes.,his voice doesnt deserve to be one for kia mr whose the boss and jerry rig yes,voice doesnt deserve one kia mr whose boss jerry rig yes,"['voice', 'doesnt', 'deserve', 'one', 'kia', 'mr', 'whose', 'boss', 'jerry', 'rig', 'yes']"
61,Where do I sign?,where do i sign,sign,['sign']
62, @thatrandomstarwarskid  just likew so more people  see,just likew so more people see,likew people see,"['likew', 'people', 'see']"
63,What does petition mean lolzs,what does petition mean lolzs,petition mean lolzs,"['petition', 'mean', 'lolzs']"
64,That would sound like an actual robot talking lol,that would sound like an actual robot talking lol,would sound like actual robot talking lol,"['would', 'sound', 'like', 'actual', 'robot', 'talking', 'lol']"
65,Here at 6.9k likes,here at k likes,likes,['likes']
66,"umm, yes.",umm yes,umm yes,"['umm', 'yes']"
67,The boy can talk!!! Lol,the boy can talk lol,boy talk lol,"['boy', 'talk', 'lol']"
68,Yes. His voice is so smooth and calm,yes his voice is so smooth and calm,yes voice smooth calm,"['yes', 'voice', 'smooth', 'calm']"
69,JerryRig too,jerryrig too,jerryrig,['jerryrig']
70,Tru,tru,tru,['tru']
71,Omg yes!! Such an amazing voice!!!,omg yes such an amazing voice,omg yes amazing voice,"['omg', 'yes', 'amazing', 'voice']"
72,"Lol ,I will sign for the petition",lol i will sign for the petition,lol sign petition,"['lol', 'sign', 'petition']"
73,Avocado Fatigue,avocado fatigue,avocado fatigue,"['avocado', 'fatigue']"
74,He can replace siri,he can replace siri,replace siri,"['replace', 'siri']"
75,I would prefer that,i would prefer that,would prefer,"['would', 'prefer']"
76,Agreed,agreed,agreed,['agreed']
77,"You have my signature, I want to tell my sister to help me with the groceries only to hear mkbhd tell me she left do not disturb on lmao",you have my signature i want to tell my sister to help me with the groceries only to hear mkbhd tell me she left do not disturb on lmao,signature want tell sister help groceries hear mkbhd tell left disturb lmao,"['signature', 'want', 'tell', 'sister', 'help', 'groceries', 'hear', 'mkbhd', 'tell', 'left', 'disturb', 'lmao']"
78,I would appreciate a real hillbilly Siri  voice for my phone,i would appreciate a real hillbilly siri voice for my phone,would appreciate real hillbilly siri voice phone,"['would', 'appreciate', 'real', 'hillbilly', 'siri', 'voice', 'phone']"
79, @LexIsFunny  the only thing that comes to mind is billy ray cyrus lmao,the only thing that comes to mind is billy ray cyrus lmao,thing comes mind billy ray cyrus lmao,"['thing', 'comes', 'mind', 'billy', 'ray', 'cyrus', 'lmao']"
80,Yeesss I agreee!!,yeesss i agreee,yeesss agreee,"['yeesss', 'agreee']"
81, @thegerhard7605  what's offensive?,what s offensive,offensive,['offensive']
82,That's for mrwhosetheboss,that s for mrwhosetheboss,mrwhosetheboss,['mrwhosetheboss']
83,Oh no. Please.,oh no please,oh please,"['oh', 'please']"
84,nah,nah,nah,['nah']
85,That’s dope,thats dope,thats dope,"['thats', 'dope']"
86,Not saying what u said is offensive but it is to some people,not saying what u said is offensive but it is to some people,saying said offensive people,"['saying', 'said', 'offensive', 'people']"
87, @z-anime_1988  how,anime how,anime,['anime']
88,Z-ANIME _ why?,z anime why,anime,['anime']
89,As it should.,as it should,,[]
90,That's exactly what I thought,that s exactly what i thought,exactly thought,"['exactly', 'thought']"
91, @TheOnlyMilad  same thing,same thing,thing,['thing']
92,Ollum no,ollum no,ollum,['ollum']
93,I still like android...,i still like android,still like android,"['still', 'like', 'android']"
94,Can't wait until someone figures that out and makes a humorous video about it...,can t wait until someone figures that out and makes a humorous video about it,wait someone figures makes humorous video,"['wait', 'someone', 'figures', 'makes', 'humorous', 'video']"
95,Those widgets don't blend in the home screen like android. Still can't do multitasking.,those widgets don t blend in the home screen like android still can t do multitasking,widgets blend home screen like android still multitasking,"['widgets', 'blend', 'home', 'screen', 'like', 'android', 'still', 'multitasking']"
96,😂 bruh,bruh,bruh,['bruh']
97,"Roger Stryker every gang throws gang signs but most gangs only throw a few signs to rep their set, depending where and which gang",roger stryker every gang throws gang signs but most gangs only throw a few signs to rep their set depending where and which gang,roger stryker every gang throws gang signs gangs throw signs rep set depending gang,"['roger', 'stryker', 'every', 'gang', 'throws', 'gang', 'signs', 'gangs', 'throw', 'signs', 'rep', 'set', 'depending', 'gang']"
98,"Unless they make a Q sign, they get shadowbaned 😂",unless they make a q sign they get shadowbaned,unless make sign get shadowbaned,"['unless', 'make', 'sign', 'get', 'shadowbaned']"
99,Milad Zemaray that’s like saying crip and japanese the same thing they are NOT,milad zemaray thats like saying crip and japanese the same thing they are not,milad zemaray thats like saying crip japanese thing,"['milad', 'zemaray', 'thats', 'like', 'saying', 'crip', 'japanese', 'thing']"
100, @ybams  it was a joke,it was a joke,joke,['joke']
101,Crypticwtf he meant any signs and it’s a joke. are u special?,crypticwtf he meant any signs and its a joke are u special,crypticwtf meant signs joke special,"['crypticwtf', 'meant', 'signs', 'joke', 'special']"
102,Crypticwtf they are tho?????,crypticwtf they are tho,crypticwtf tho,"['crypticwtf', 'tho']"
103,"Anthony Thomas, To be fair it was two hours long, so those reiterations are helpful, but nonetheless this was the best breakdown so far.",anthony thomas to be fair it was two hours long so those reiterations are helpful but nonetheless this was the best breakdown so far,anthony thomas fair two hours long reiterations helpful nonetheless best breakdown far,"['anthony', 'thomas', 'fair', 'two', 'hours', 'long', 'reiterations', 'helpful', 'nonetheless', 'best', 'breakdown', 'far']"
104,Watch Nick Ackerman or Brandon butch they did great vids as well,watch nick ackerman or brandon butch they did great vids as well,watch nick ackerman brandon butch great vids well,"['watch', 'nick', 'ackerman', 'brandon', 'butch', 'great', 'vids', 'well']"
105,That why he’s the best,that why hes the best,hes best,"['hes', 'best']"
106,The fucking best,the fucking best,fucking best,"['fucking', 'best']"
107,I agree!,i agree,agree,['agree']
108,Laughs in youtube vanced,laughs in youtube vanced,laughs youtube vanced,"['laughs', 'youtube', 'vanced']"
109,"Theo G Uh, just because other people have complained about it doesn’t mean their a bot. If it does have any meaning it should be how much of a complaint these double ads are.",theo g uh just because other people have complained about it doesnt mean their a bot if it does have any meaning it should be how much of a complaint these double ads are,theo uh people complained doesnt mean bot meaning much complaint double ads,"['theo', 'uh', 'people', 'complained', 'doesnt', 'mean', 'bot', 'meaning', 'much', 'complaint', 'double', 'ads']"
110,"irfan raza When did I say anything about people being a bot, bot? 🤔 🤖",irfan raza when did i say anything about people being a bot bot,irfan raza say anything people bot bot,"['irfan', 'raza', 'say', 'anything', 'people', 'bot', 'bot']"
111, @irfanraza-lz3ye  he didnt say it was a bot and its literally the exact same as all the others,lz ye he didnt say it was a bot and its literally the exact same as all the others,lz ye didnt say bot literally exact others,"['lz', 'ye', 'didnt', 'say', 'bot', 'literally', 'exact', 'others']"
112,ikr,ikr,ikr,['ikr']
113,Youre getting really comfortable with these double unskippable ads,youre getting really comfortable with these double unskippable ads,youre getting really comfortable double unskippable ads,"['youre', 'getting', 'really', 'comfortable', 'double', 'unskippable', 'ads']"
114,Copy copy paste,copy copy paste,copy copy paste,"['copy', 'copy', 'paste']"
115,Copy paste,copy paste,copy paste,"['copy', 'paste']"
116,This person understands true pain.,this person understands true pain,person understands true pain,"['person', 'understands', 'true', 'pain']"
117,Frrr!!,frrr,frrr,['frrr']
118,Get a YouTube premium ?,get a youtube premium,get youtube premium,"['get', 'youtube', 'premium']"
119," @beckhamng6619  nah, just get Vanced.",nah just get vanced,nah get vanced,"['nah', 'get', 'vanced']"
120,I forgot YouTube has ads. Use Google rewards to earn money that will cover your YouTube premium subscription. Completely worth it.,i forgot youtube has ads use google rewards to earn money that will cover your youtube premium subscription completely worth it,forgot youtube ads use google rewards earn money cover youtube premium subscription completely worth,"['forgot', 'youtube', 'ads', 'use', 'google', 'rewards', 'earn', 'money', 'cover', 'youtube', 'premium', 'subscription', 'completely', 'worth']"
121,"@Ninja God it's just called adblock, on chrome, free",god it s just called adblock on chrome free,god called adblock chrome free,"['god', 'called', 'adblock', 'chrome', 'free']"
122,I don’t get ads I pay 15$ a month for a premium family plan and i really don’t think the 10$ fee is that expensive,i dont get ads i pay a month for a premium family plan and i really dont think the fee is that expensive,dont get ads pay month premium family plan really dont think fee expensive,"['dont', 'get', 'ads', 'pay', 'month', 'premium', 'family', 'plan', 'really', 'dont', 'think', 'fee', 'expensive']"
123,Omg fr i get so annoyed,omg fr i get so annoyed,omg fr get annoyed,"['omg', 'fr', 'get', 'annoyed']"
124,just add some add blocker extension i guess :)),just add some add blocker extension i guess,add add blocker extension guess,"['add', 'add', 'blocker', 'extension', 'guess']"
125,"Just get Vanced or Adguard Premium. Even if you pay for Adguard, it is still cheaper than YouTube Premium. About 3-4 times.",just get vanced or adguard premium even if you pay for adguard it is still cheaper than youtube premium about times,get vanced adguard premium even pay adguard still cheaper youtube premium times,"['get', 'vanced', 'adguard', 'premium', 'even', 'pay', 'adguard', 'still', 'cheaper', 'youtube', 'premium', 'times']"
126,Remember when the only videos that had ads were VEVO videos,remember when the only videos that had ads were vevo videos,remember videos ads vevo videos,"['remember', 'videos', 'ads', 'vevo', 'videos']"
127,Just report the first one and the next one won't come.,just report the first one and the next one won t come,report first one next one come,"['report', 'first', 'one', 'next', 'one', 'come']"
128,Bro you just getting double I’m getting 9 at Times,bro you just getting double im getting at times,bro getting double im getting times,"['bro', 'getting', 'double', 'im', 'getting', 'times']"
129,Wow so original 😐,wow so original,wow original,"['wow', 'original']"
130,Stop whining and get an adblock,stop whining and get an adblock,stop whining get adblock,"['stop', 'whining', 'get', 'adblock']"
131,And you are getting really comfortable with copy pasting comments,and you are getting really comfortable with copy pasting comments,getting really comfortable copy pasting comments,"['getting', 'really', 'comfortable', 'copy', 'pasting', 'comments']"
132,"They are skipable
Press the little i button... and then report the ad... and now u can skip every ad in like 2 seconds! Thank me later",they are skipable press the little i button and then report the ad and now u can skip every ad in like seconds thank me later,skipable press little button report ad skip every ad like seconds thank later,"['skipable', 'press', 'little', 'button', 'report', 'ad', 'skip', 'every', 'ad', 'like', 'seconds', 'thank', 'later']"
133,Earlier I got double unskippable adds and a survey underneath,earlier i got double unskippable adds and a survey underneath,earlier got double unskippable adds survey underneath,"['earlier', 'got', 'double', 'unskippable', 'adds', 'survey', 'underneath']"
134,Getting 'em for about 2 months now....The same 2 ads...Every single time,getting em for about months now the same ads every single time,getting months ads every single time,"['getting', 'months', 'ads', 'every', 'single', 'time']"
135,Tell the creator to change his settings. You have the choice of skippable and not skippable ads. He wants that money baby :),tell the creator to change his settings you have the choice of skippable and not skippable ads he wants that money baby,tell creator change settings choice skippable skippable ads wants money baby,"['tell', 'creator', 'change', 'settings', 'choice', 'skippable', 'skippable', 'ads', 'wants', 'money', 'baby']"
136,They are just trying to push us to pay but I REFUSE to pay for anything on YouTube.,they are just trying to push us to pay but i refuse to pay for anything on youtube,trying push us pay refuse pay anything youtube,"['trying', 'push', 'us', 'pay', 'refuse', 'pay', 'anything', 'youtube']"
137,Just refresh the page and the ads will disappear ;),just refresh the page and the ads will disappear,refresh page ads disappear,"['refresh', 'page', 'ads', 'disappear']"
138,and ion like it at all,and ion like it at all,ion like,"['ion', 'like']"
139,Ikr bro,ikr bro,ikr bro,"['ikr', 'bro']"
140,Im using YouTube vanced. Its ad free,im using youtube vanced its ad free,im using youtube vanced ad free,"['im', 'using', 'youtube', 'vanced', 'ad', 'free']"
141,Lmao word,lmao word,lmao word,"['lmao', 'word']"
142,I swear it's killing me,i swear it s killing me,swear killing,"['swear', 'killing']"
143,@Ludvig B.L. pretty much  i bet shes going to come back in a year and say she didnt copy this,b l pretty much i bet shes going to come back in a year and say she didnt copy this,pretty much bet shes going come back year say didnt copy,"['pretty', 'much', 'bet', 'shes', 'going', 'come', 'back', 'year', 'say', 'didnt', 'copy']"
144,"There are videos how not to get any youtube ads.
I don't have any. It's simple. look it up.",there are videos how not to get any youtube ads i don t have any it s simple look it up,videos get youtube ads simple look,"['videos', 'get', 'youtube', 'ads', 'simple', 'look']"
145,Yuh,yuh,yuh,['yuh']
146,Adblock,adblock,adblock,['adblock']
147,Fr,fr,fr,['fr']
148,Just get YouTube premium,just get youtube premium,get youtube premium,"['get', 'youtube', 'premium']"
149, @d.b.2917  agreed,b agreed,agreed,['agreed']
150,TOO comfortable,too comfortable,comfortable,['comfortable']
151,Premium,premium,premium,['premium']
152,Ok bot,ok bot,ok bot,"['ok', 'bot']"
153,I get that exact same feeling 🤣,i get that exact same feeling,get exact feeling,"['get', 'exact', 'feeling']"
154, @el_maldo  get out get out not funny,get out get out not funny,get get funny,"['get', 'get', 'funny']"
155,"Lol, I was kinda expecting that too",lol i was kinda expecting that too,lol kinda expecting,"['lol', 'kinda', 'expecting']"
156, @Mrechospartan  gtfo,gtfo,gtfo,['gtfo']
157,"Yes, I've been using this since months in android 10.",yes i ve been using this since months in android,yes using since months android,"['yes', 'using', 'since', 'months', 'android']"
158,i was kinda expecting that too.....,i was kinda expecting that too,kinda expecting,"['kinda', 'expecting']"
159,Software engineer here. They gave it to us about a day or two ago.,software engineer here they gave it to us about a day or two ago,software engineer gave us day two ago,"['software', 'engineer', 'gave', 'us', 'day', 'two', 'ago']"
160, @ChildrenOfTheRune  MKBHD subscriber here. it's a running joke in case you didn't catch it.,mkbhd subscriber here it s a running joke in case you didn t catch it,mkbhd subscriber running joke case catch,"['mkbhd', 'subscriber', 'running', 'joke', 'case', 'catch']"
161,He’s losing his touch,hes losing his touch,hes losing touch,"['hes', 'losing', 'touch']"
162,The disappointment is real,the disappointment is real,disappointment real,"['disappointment', 'real']"
163,Yes please,yes please,yes please,"['yes', 'please']"
164,I meaaaaaaan it is new to the BRAND 😬,i meaaaaaaan it is new to the brand,meaaaaaaan new brand,"['meaaaaaaan', 'new', 'brand']"
165, @omgIoIwtf  yes.. That's the joke buddy,yes that s the joke buddy,yes joke buddy,"['yes', 'joke', 'buddy']"
166,Yeah it is pretty funny tbh. But good on apple for finally giving iPhone users these features.,yeah it is pretty funny tbh but good on apple for finally giving iphone users these features,yeah pretty funny tbh good apple finally giving iphone users features,"['yeah', 'pretty', 'funny', 'tbh', 'good', 'apple', 'finally', 'giving', 'iphone', 'users', 'features']"
167,iOS Jailbreak users: I saw this 8 years ago,ios jailbreak users i saw this years ago,ios jailbreak users saw years ago,"['ios', 'jailbreak', 'users', 'saw', 'years', 'ago']"
168," @WhtSqurl  haha, but jilbreaks. Haha hihi hoho.",haha but jilbreaks haha hihi hoho,haha jilbreaks haha hihi hoho,"['haha', 'jilbreaks', 'haha', 'hihi', 'hoho']"
169,Was that meant to be a Back to the Future reference or am I showing how much of a boomer I am?,was that meant to be a back to the future reference or am i showing how much of a boomer i am,meant back future reference showing much boomer,"['meant', 'back', 'future', 'reference', 'showing', 'much', 'boomer']"
170,『Alt-F4』 i also caught the back to the future reference and im a zoomer lol,alt f i also caught the back to the future reference and im a zoomer lol,alt also caught back future reference im zoomer lol,"['alt', 'also', 'caught', 'back', 'future', 'reference', 'im', 'zoomer', 'lol']"
171,"But... They improved it. Now it's time for Google to copy iOS on these little Widgets and PIP features (group widgets and better PIP experience). Or just make these features better! 

That's the beauty of competition (and copying).",but they improved it now it s time for google to copy ios on these little widgets and pip features group widgets and better pip experience or just make these features better that s the beauty of competition and copying,improved time google copy ios little widgets pip features group widgets better pip experience make features better beauty competition copying,"['improved', 'time', 'google', 'copy', 'ios', 'little', 'widgets', 'pip', 'features', 'group', 'widgets', 'better', 'pip', 'experience', 'make', 'features', 'better', 'beauty', 'competition', 'copying']"
172," @borealfox  apple copy androids we are always futuristic. More features and also new ideas. Plus you should know the new apple screens copy Android because they buy their screens from Galaxy. You should know Samsung has the best oled displays in the market. Also, androids going to invent more features and new ideas.",apple copy androids we are always futuristic more features and also new ideas plus you should know the new apple screens copy android because they buy their screens from galaxy you should know samsung has the best oled displays in the market also androids going to invent more features and new ideas,apple copy androids always futuristic features also new ideas plus know new apple screens copy android buy screens galaxy know samsung best oled displays market also androids going invent features new ideas,"['apple', 'copy', 'androids', 'always', 'futuristic', 'features', 'also', 'new', 'ideas', 'plus', 'know', 'new', 'apple', 'screens', 'copy', 'android', 'buy', 'screens', 'galaxy', 'know', 'samsung', 'best', 'oled', 'displays', 'market', 'also', 'androids', 'going', 'invent', 'features', 'new', 'ideas']"
173,Is there still no universal back button/swipe? That has me baffled since years.... I use that 10 times every minute. I have Android 10 and use one button mode. Back is a swipe to the middle from the left edge or right edge. Works great.,is there still no universal back button swipe that has me baffled since years i use that times every minute i have android and use one button mode back is a swipe to the middle from the left edge or right edge works great,still universal back button swipe baffled since years use times every minute android use one button mode back swipe middle left edge right edge works great,"['still', 'universal', 'back', 'button', 'swipe', 'baffled', 'since', 'years', 'use', 'times', 'every', 'minute', 'android', 'use', 'one', 'button', 'mode', 'back', 'swipe', 'middle', 'left', 'edge', 'right', 'edge', 'works', 'great']"
174,Actually a lot of this looks like iOS 7 jailbreak tweaks or some are even iOS 5 jailbreak tweaks,actually a lot of this looks like ios jailbreak tweaks or some are even ios jailbreak tweaks,actually lot looks like ios jailbreak tweaks even ios jailbreak tweaks,"['actually', 'lot', 'looks', 'like', 'ios', 'jailbreak', 'tweaks', 'even', 'ios', 'jailbreak', 'tweaks']"
