comment_id,text,text_clean,vader_label,vader_score,distilbert_label,distilbert_score,lda_topic
45,s i g n e d ✍️,s i g n e d,neutral,0.0,positive,0.8585,1
46,"Nope, can’t think of anything else more worthy of being petitioned. Nope it’s getting a millionaire you tuber to be a phone assist voice",nope cant think of anything else more worthy of being petitioned nope its getting a millionaire you tuber to be a phone assist voice,positive,0.4927,negative,0.9971,1
47,"What’s the watch MKBHD?
Marquess: “Tells Weather”
Thanks 
Marquess: catch you in the next one, Peace",whats the watch mkbhd marquess tells weather thanks marquess catch you in the next one peace,positive,0.7506,positive,0.9991,5
48,Sign me up,sign me up,neutral,0.0,positive,0.9975,5
49,Frs,frs,neutral,0.0,positive,0.9541,1
50,I’m down,im down,neutral,0.0,negative,0.9998,5
51,YESSS😭,yesss,neutral,0.0,positive,0.9954,1
52,"True instead of hey siri, hey marques 💕",true instead of hey siri hey marques,positive,0.4215,positive,0.9528,3
53,or Joe Rogan 😂,or joe rogan,neutral,0.0,positive,0.9945,1
54,Aye!,aye,neutral,0.0,positive,0.9983,1
55,no,no,negative,-0.296,negative,0.9964,1
56,Is there any app for call recording free,is there any app for call recording free,positive,0.5106,negative,0.99,5
57,Please Google are you listening.. MKBHD skills be an option for voice assistant,please google are you listening mkbhd skills be an option for voice assistant,positive,0.3182,negative,0.9738,5
58,Dislike,dislike,negative,-0.3818,negative,0.9995,1
59,personally i dont like MrWhoseTheBoss but i guess he could be the uk assistand and mark can be u.s. assistant.,personally i dont like mrwhosetheboss but i guess he could be the uk assistand and mark can be u s assistant,negative,-0.1419,negative,0.9333,2
60,His voice doesn’t deserve to be one for Kia.  Mr whose the boss and Jerry rig yes.,his voice doesnt deserve to be one for kia mr whose the boss and jerry rig yes,negative,-0.4588,negative,0.9947,5
61,Where do I sign?,where do i sign,neutral,0.0,negative,0.8903,5
62, @thatrandomstarwarskid  just likew so more people  see,just likew so more people see,neutral,0.0,positive,0.9984,1
63,What does petition mean lolzs,what does petition mean lolzs,neutral,0.0,negative,0.9926,3
64,That would sound like an actual robot talking lol,that would sound like an actual robot talking lol,positive,0.6486,negative,0.9944,3
65,Here at 6.9k likes,here at k likes,positive,0.4215,positive,0.9977,5
66,"umm, yes.",umm yes,positive,0.4019,positive,0.9668,1
67,The boy can talk!!! Lol,the boy can talk lol,positive,0.4215,positive,0.9798,2
68,Yes. His voice is so smooth and calm,yes his voice is so smooth and calm,positive,0.6444,positive,0.9993,1
69,JerryRig too,jerryrig too,neutral,0.0,negative,0.8027,1
70,Tru,tru,neutral,0.0,positive,0.662,1
71,Omg yes!! Such an amazing voice!!!,omg yes such an amazing voice,positive,0.7579,positive,0.9998,2
72,"Lol ,I will sign for the petition",lol i will sign for the petition,positive,0.4215,positive,0.7099,5
73,Avocado Fatigue,avocado fatigue,negative,-0.25,negative,0.9996,1
74,He can replace siri,he can replace siri,neutral,0.0,positive,0.9887,5
75,I would prefer that,i would prefer that,neutral,0.0,positive,0.9936,2
76,Agreed,agreed,positive,0.2732,positive,0.9997,4
77,"You have my signature, I want to tell my sister to help me with the groceries only to hear mkbhd tell me she left do not disturb on lmao",you have my signature i want to tell my sister to help me with the groceries only to hear mkbhd tell me she left do not disturb on lmao,positive,0.276,negative,0.5543,3
78,I would appreciate a real hillbilly Siri  voice for my phone,i would appreciate a real hillbilly siri voice for my phone,positive,0.4019,positive,0.9941,5
79, @LexIsFunny  the only thing that comes to mind is billy ray cyrus lmao,the only thing that comes to mind is billy ray cyrus lmao,positive,0.5994,negative,0.9978,4
80,Yeesss I agreee!!,yeesss i agreee,neutral,0.0,positive,0.9906,1
81, @thegerhard7605  what's offensive?,what s offensive,negative,-0.4588,negative,0.9998,4
82,That's for mrwhosetheboss,that s for mrwhosetheboss,neutral,0.0,negative,0.5971,2
83,Oh no. Please.,oh no please,negative,-0.2411,negative,0.9897,1
84,nah,nah,negative,-0.1027,negative,0.9864,5
85,That’s dope,thats dope,neutral,0.0,negative,0.8701,1
86,Not saying what u said is offensive but it is to some people,not saying what u said is offensive but it is to some people,negative,-0.25,negative,0.7323,4
87, @z-anime_1988  how,anime how,neutral,0.0,positive,0.8439,4
88,Z-ANIME _ why?,z anime why,neutral,0.0,negative,0.7912,4
89,As it should.,as it should,neutral,0.0,positive,0.996,1
90,That's exactly what I thought,that s exactly what i thought,neutral,0.0,positive,0.9997,4
91, @TheOnlyMilad  same thing,same thing,neutral,0.0,negative,0.9795,4
92,Ollum no,ollum no,negative,-0.296,negative,0.9962,1
93,I still like android...,i still like android,positive,0.3612,positive,0.9978,1
94,Can't wait until someone figures that out and makes a humorous video about it...,can t wait until someone figures that out and makes a humorous video about it,positive,0.3818,positive,0.5689,5
95,Those widgets don't blend in the home screen like android. Still can't do multitasking.,those widgets don t blend in the home screen like android still can t do multitasking,positive,0.3612,negative,0.9952,3
96,😂 bruh,bruh,neutral,0.0,positive,0.5427,3
97,"Roger Stryker every gang throws gang signs but most gangs only throw a few signs to rep their set, depending where and which gang",roger stryker every gang throws gang signs but most gangs only throw a few signs to rep their set depending where and which gang,neutral,0.0,negative,0.9969,1
98,"Unless they make a Q sign, they get shadowbaned 😂",unless they make a q sign they get shadowbaned,neutral,0.0,negative,0.9963,3
99,Milad Zemaray that’s like saying crip and japanese the same thing they are NOT,milad zemaray thats like saying crip and japanese the same thing they are not,positive,0.3612,negative,0.9909,1
100, @ybams  it was a joke,it was a joke,positive,0.296,negative,0.9981,1
101,Crypticwtf he meant any signs and it’s a joke. are u special?,crypticwtf he meant any signs and its a joke are u special,positive,0.5994,negative,0.9981,1
102,Crypticwtf they are tho?????,crypticwtf they are tho,neutral,0.0,negative,0.9811,4
103,"Anthony Thomas, To be fair it was two hours long, so those reiterations are helpful, but nonetheless this was the best breakdown so far.",anthony thomas to be fair it was two hours long so those reiterations are helpful but nonetheless this was the best breakdown so far,positive,0.8537,positive,0.9981,4
104,Watch Nick Ackerman or Brandon butch they did great vids as well,watch nick ackerman or brandon butch they did great vids as well,positive,0.7351,positive,0.9988,5
105,That why he’s the best,that why hes the best,positive,0.6369,positive,0.9998,4
106,The fucking best,the fucking best,positive,0.6697,positive,0.9997,5
107,I agree!,i agree,positive,0.3612,positive,0.9998,3
108,Laughs in youtube vanced,laughs in youtube vanced,positive,0.4939,positive,0.9993,5
109,"Theo G Uh, just because other people have complained about it doesn’t mean their a bot. If it does have any meaning it should be how much of a complaint these double ads are.",theo g uh just because other people have complained about it doesnt mean their a bot if it does have any meaning it should be how much of a complaint these double ads are,negative,-0.5994,negative,0.9996,1
110,"irfan raza When did I say anything about people being a bot, bot? 🤔 🤖",irfan raza when did i say anything about people being a bot bot,neutral,0.0,negative,0.9982,4
111, @irfanraza-lz3ye  he didnt say it was a bot and its literally the exact same as all the others,lz ye he didnt say it was a bot and its literally the exact same as all the others,neutral,0.0,negative,0.9977,3
112,ikr,ikr,neutral,0.0,negative,0.7886,4
113,Youre getting really comfortable with these double unskippable ads,youre getting really comfortable with these double unskippable ads,positive,0.5563,positive,0.9646,1
114,Copy copy paste,copy copy paste,neutral,0.0,negative,0.9987,1
115,Copy paste,copy paste,neutral,0.0,negative,0.9984,1
116,This person understands true pain.,this person understands true pain,negative,-0.128,positive,0.9913,5
117,Frrr!!,frrr,neutral,0.0,negative,0.7306,1
118,Get a YouTube premium ?,get a youtube premium,neutral,0.0,negative,0.5684,5
119," @beckhamng6619  nah, just get Vanced.",nah just get vanced,negative,-0.1027,negative,0.988,5
120,I forgot YouTube has ads. Use Google rewards to earn money that will cover your YouTube premium subscription. Completely worth it.,i forgot youtube has ads use google rewards to earn money that will cover your youtube premium subscription completely worth it,positive,0.6478,positive,0.9937,5
121,"@Ninja God it's just called adblock, on chrome, free",god it s just called adblock on chrome free,positive,0.6597,negative,0.9987,1
122,I don’t get ads I pay 15$ a month for a premium family plan and i really don’t think the 10$ fee is that expensive,i dont get ads i pay a month for a premium family plan and i really dont think the fee is that expensive,negative,-0.1027,negative,0.9984,2
123,Omg fr i get so annoyed,omg fr i get so annoyed,negative,-0.5214,negative,0.9996,3
124,just add some add blocker extension i guess :)),just add some add blocker extension i guess,neutral,0.0,negative,0.9958,3
125,"Just get Vanced or Adguard Premium. Even if you pay for Adguard, it is still cheaper than YouTube Premium. About 3-4 times.",just get vanced or adguard premium even if you pay for adguard it is still cheaper than youtube premium about times,negative,-0.1027,negative,0.9897,5
126,Remember when the only videos that had ads were VEVO videos,remember when the only videos that had ads were vevo videos,neutral,0.0,negative,0.9988,2
127,Just report the first one and the next one won't come.,just report the first one and the next one won t come,positive,0.5719,negative,0.9991,5
128,Bro you just getting double I’m getting 9 at Times,bro you just getting double im getting at times,neutral,0.0,positive,0.8984,1
129,Wow so original 😐,wow so original,positive,0.7501,positive,0.9998,1
130,Stop whining and get an adblock,stop whining and get an adblock,negative,-0.4767,negative,0.9996,3
131,And you are getting really comfortable with copy pasting comments,and you are getting really comfortable with copy pasting comments,positive,0.5563,positive,0.9981,1
132,"They are skipable
Press the little i button... and then report the ad... and now u can skip every ad in like 2 seconds! Thank me later",they are skipable press the little i button and then report the ad and now u can skip every ad in like seconds thank me later,positive,0.6124,negative,0.9974,2
133,Earlier I got double unskippable adds and a survey underneath,earlier i got double unskippable adds and a survey underneath,neutral,0.0,negative,0.9432,2
134,Getting 'em for about 2 months now....The same 2 ads...Every single time,getting em for about months now the same ads every single time,neutral,0.0,negative,0.9984,1
135,Tell the creator to change his settings. You have the choice of skippable and not skippable ads. He wants that money baby :),tell the creator to change his settings you have the choice of skippable and not skippable ads he wants that money baby,neutral,0.0,negative,0.9977,2
136,They are just trying to push us to pay but I REFUSE to pay for anything on YouTube.,they are just trying to push us to pay but i refuse to pay for anything on youtube,negative,-0.5574,negative,0.9994,5
137,Just refresh the page and the ads will disappear ;),just refresh the page and the ads will disappear,negative,-0.2263,negative,0.9979,5
138,and ion like it at all,and ion like it at all,positive,0.3612,positive,0.9993,4
139,Ikr bro,ikr bro,neutral,0.0,negative,0.7611,4
140,Im using YouTube vanced. Its ad free,im using youtube vanced its ad free,positive,0.5106,negative,0.9966,5
141,Lmao word,lmao word,positive,0.5994,negative,0.965,5
142,I swear it's killing me,i swear it s killing me,negative,-0.6808,negative,0.9988,1
143,@Ludvig B.L. pretty much  i bet shes going to come back in a year and say she didnt copy this,b l pretty much i bet shes going to come back in a year and say she didnt copy this,positive,0.7351,negative,0.9951,1
144,"There are videos how not to get any youtube ads.
I don't have any. It's simple. look it up.",there are videos how not to get any youtube ads i don t have any it s simple look it up,neutral,0.0,negative,0.998,2
145,Yuh,yuh,neutral,0.0,positive,0.8975,1
146,Adblock,adblock,neutral,0.0,negative,0.9976,3
147,Fr,fr,neutral,0.0,positive,0.9515,2
148,Just get YouTube premium,just get youtube premium,neutral,0.0,negative,0.8568,5
149, @d.b.2917  agreed,b agreed,positive,0.2732,positive,0.9954,4
150,TOO comfortable,too comfortable,positive,0.5106,positive,0.908,1
151,Premium,premium,neutral,0.0,positive,0.9993,5
152,Ok bot,ok bot,positive,0.296,positive,0.9983,4
153,I get that exact same feeling 🤣,i get that exact same feeling,positive,0.128,negative,0.6631,3
154, @el_maldo  get out get out not funny,get out get out not funny,negative,-0.3412,negative,0.9997,3
155,"Lol, I was kinda expecting that too",lol i was kinda expecting that too,positive,0.4215,negative,0.9546,2
156, @Mrechospartan  gtfo,gtfo,neutral,0.0,positive,0.6305,1
157,"Yes, I've been using this since months in android 10.",yes i ve been using this since months in android,positive,0.4019,positive,0.8355,1
158,i was kinda expecting that too.....,i was kinda expecting that too,neutral,0.0,negative,0.9672,2
159,Software engineer here. They gave it to us about a day or two ago.,software engineer here they gave it to us about a day or two ago,neutral,0.0,negative,0.9927,4
160, @ChildrenOfTheRune  MKBHD subscriber here. it's a running joke in case you didn't catch it.,mkbhd subscriber here it s a running joke in case you didn t catch it,positive,0.296,negative,0.9983,5
161,He’s losing his touch,hes losing his touch,negative,-0.3818,negative,0.9998,3
162,The disappointment is real,the disappointment is real,negative,-0.5106,negative,0.9989,3
163,Yes please,yes please,positive,0.6124,positive,0.9997,1
164,I meaaaaaaan it is new to the BRAND 😬,i meaaaaaaan it is new to the brand,neutral,0.0,positive,0.994,1
165, @omgIoIwtf  yes.. That's the joke buddy,yes that s the joke buddy,positive,0.5994,positive,0.9941,5
166,Yeah it is pretty funny tbh. But good on apple for finally giving iPhone users these features.,yeah it is pretty funny tbh but good on apple for finally giving iphone users these features,positive,0.891,positive,0.9989,2
167,iOS Jailbreak users: I saw this 8 years ago,ios jailbreak users i saw this years ago,neutral,0.0,negative,0.9869,1
168," @WhtSqurl  haha, but jilbreaks. Haha hihi hoho.",haha but jilbreaks haha hihi hoho,positive,0.7184,negative,0.9708,5
169,Was that meant to be a Back to the Future reference or am I showing how much of a boomer I am?,was that meant to be a back to the future reference or am i showing how much of a boomer i am,neutral,0.0,negative,0.9976,3
170,『Alt-F4』 i also caught the back to the future reference and im a zoomer lol,alt f i also caught the back to the future reference and im a zoomer lol,positive,0.4215,negative,0.9894,3
171,"But... They improved it. Now it's time for Google to copy iOS on these little Widgets and PIP features (group widgets and better PIP experience). Or just make these features better! 

That's the beauty of competition (and copying).",but they improved it now it s time for google to copy ios on these little widgets and pip features group widgets and better pip experience or just make these features better that s the beauty of competition and copying,positive,0.9587,negative,0.9963,1
172," @borealfox  apple copy androids we are always futuristic. More features and also new ideas. Plus you should know the new apple screens copy Android because they buy their screens from Galaxy. You should know Samsung has the best oled displays in the market. Also, androids going to invent more features and new ideas.",apple copy androids we are always futuristic more features and also new ideas plus you should know the new apple screens copy android because they buy their screens from galaxy you should know samsung has the best oled displays in the market also androids going to invent more features and new ideas,positive,0.6369,positive,0.9969,1
173,Is there still no universal back button/swipe? That has me baffled since years.... I use that 10 times every minute. I have Android 10 and use one button mode. Back is a swipe to the middle from the left edge or right edge. Works great.,is there still no universal back button swipe that has me baffled since years i use that times every minute i have android and use one button mode back is a swipe to the middle from the left edge or right edge works great,positive,0.4404,positive,0.989,1
174,Actually a lot of this looks like iOS 7 jailbreak tweaks or some are even iOS 5 jailbreak tweaks,actually a lot of this looks like ios jailbreak tweaks or some are even ios jailbreak tweaks,positive,0.3612,negative,0.9968,1
175, @Phouanesavath2  those tweaks are inspired from old android features. But its cool they finally fcking add those,those tweaks are inspired from old android features but its cool they finally fcking add those,positive,0.6187,positive,0.999,2
176, @Phouanesavath2  well yes but actually No..,well yes but actually no,negative,-0.1027,negative,0.9692,1
177,Windows users after seeing ios widgets: were we a joke to you?,windows users after seeing ios widgets were we a joke to you,positive,0.296,negative,0.9931,1
178, @13ballom  True True,true true,positive,0.6808,positive,0.9999,2
179,Android users: It already does that😂,android users it already does that,neutral,0.0,negative,0.9801,1
180,IKR lol,ikr lol,positive,0.4215,negative,0.9392,4
181,Are you John f kennedy's brother?,are you john f kennedy s brother,neutral,0.0,positive,0.9937,1
182,"You forget, 
Android users: wait I’ve seen this a long, looong time before. 
Ios users: wi wait for apple make this shit as long looong time is need",you forget android users wait ive seen this a long looong time before ios users wi wait for apple make this shit as long looong time is need,negative,-0.7311,negative,0.9986,1
183," @smarthome2502  seeing your toxicity, replying to 3 separate comments, really makes me feel sorry for you.",seeing your toxicity replying to separate comments really makes me feel sorry for you,negative,-0.0772,negative,0.9996,4
184,Accurate,accurate,neutral,0.0,positive,0.9998,1
185,Well but the widgets at android work really different. and also are kind of uglier,well but the widgets at android work really different and also are kind of uglier,negative,-0.6357,negative,0.9968,1
186,wait android users get software updates for 6 years?,wait android users get software updates for years,neutral,0.0,negative,0.9988,1
187," @saisushanth1221  can you upgrade iphone 5 s to ios 13??? Can’t !!!
Everthing its clear.   Hahaha",can you upgrade iphone s to ios cant everthing its clear hahaha,positive,0.3434,negative,0.9733,2
188,Do not care ever what Android has. Period.,do not care ever what android has period,negative,-0.3875,negative,0.9995,2
189," @kevina4140  sounds like an old person who cannot accept any change nor new things in life, it's just too confusing. Old well known routines are the only way you can live now.",sounds like an old person who cannot accept any change nor new things in life it s just too confusing old well known routines are the only way you can live now,positive,0.1321,negative,0.9994,2
190,exactly lmaooo,exactly lmaooo,neutral,0.0,negative,0.7813,4
191,You could already do that by just pressing the snooze button,you could already do that by just pressing the snooze button,neutral,0.0,negative,0.9984,1
192,I feel exposed 😂😅🙈,i feel exposed,negative,-0.0772,negative,0.9933,4
193,many people do that haha😂,many people do that haha,positive,0.4588,negative,0.5623,1
194,I use the message “I recall you late” and never recall them,i use the message i recall you late and never recall them,neutral,0.0,negative,0.9982,3
195,Savage😂,savage,negative,-0.4588,negative,0.9987,1
196,Finally!!!,finally,neutral,0.0,positive,0.9984,2
197,berry noice,berry noice,neutral,0.0,negative,0.9347,1
198,We're not alone. 😂,we re not alone,positive,0.1877,negative,0.9548,1
199,After it gets released its gonna be I didn't see the notification,after it gets released its gonna be i didn t see the notification,neutral,0.0,negative,0.9985,3
200,LMAO RIGHT.,lmao right,positive,0.5994,positive,0.9992,5
201,Christian Morgan ikr,christian morgan ikr,neutral,0.0,positive,0.8595,4
202,Lol men same here😂,lol men same here,positive,0.4215,negative,0.9489,1
203,"Bruh you could literally do this on any android,  acting like its new",bruh you could literally do this on any android acting like its new,positive,0.3612,negative,0.9929,3
204,"Christopher Diaz why you talkin bout Android, when you’re on an IPhone software video? Tis irrelevant",christopher diaz why you talkin bout android when youre on an iphone software video tis irrelevant,neutral,0.0,negative,0.9991,4
205,Christopher Diaz Meanwhile iPhone has always had that anyway when you hit the volume button,christopher diaz meanwhile iphone has always had that anyway when you hit the volume button,neutral,0.0,negative,0.6737,4
206,"Its a new feature yall just got but the feature has been out forever Apple just didn't give it to yall , and yall talk about it like the feature hasn't ever existed",its a new feature yall just got but the feature has been out forever apple just didn t give it to yall and yall talk about it like the feature hasn t ever existed,positive,0.5023,negative,0.9976,2
207,Christopher Diaz nobody here is talkin bout it like it haven’t existed prior to iPhones receiving da update. You makin a pointless conversation over a joke lol,christopher diaz nobody here is talkin bout it like it havent existed prior to iphones receiving da update you makin a pointless conversation over a joke lol,positive,0.7579,negative,0.9995,2
208,Yep,yep,positive,0.296,positive,0.9991,1
209,Ikr thank god,ikr thank god,positive,0.5574,positive,0.9989,4
210,You could have just double tapped the power button,you could have just double tapped the power button,neutral,0.0,negative,0.9979,1
211,Gmoneymelo Gaming which would end da call instead of da joke bein to make it seem like you’re busy. It went over you,gmoneymelo gaming which would end da call instead of da joke bein to make it seem like youre busy it went over you,positive,0.5719,negative,0.9991,3
212,Cuz Christian Morgan yall acting like this a new thing but its not,cuz christian morgan yall acting like this a new thing but its not,positive,0.1901,negative,0.9901,4
213,"Christopher Diaz were iPhones able to do it before? No. So therefore, it is new",christopher diaz were iphones able to do it before no so therefore it is new,negative,-0.296,positive,0.982,2
214,Laughs in Android,laughs in android,positive,0.4939,positive,0.9998,4
215,Fleur D'amour lmaoo,fleur d amour lmaoo,neutral,0.0,positive,0.5793,5
216,I fucking chortled lmfao,i fucking chortled lmfao,positive,0.5829,negative,0.9992,5
217,Erm,erm,neutral,0.0,negative,0.9573,1
218, @harper3147  youre like 12 chill,youre like chill,positive,0.3612,positive,0.5541,4
219,I thought of that too lmao 😂,i thought of that too lmao,positive,0.5994,negative,0.9933,5
220,what anime is your profile picture?,what anime is your profile picture,neutral,0.0,negative,0.937,3
221,Ah I see you know your judo well,ah i see you know your judo well,positive,0.2732,positive,0.9994,5
222,Deadass I was thinking the same shit 😂😂,deadass i was thinking the same shit,negative,-0.5574,negative,0.9977,4
223,Welcome to android 2010,welcome to android,positive,0.4588,positive,0.9997,5
224,I have that on my jailbroken iPhone,i have that on my jailbroken iphone,neutral,0.0,negative,0.9861,2
225,I knew android user would say “we already have that”,i knew android user would say we already have that,neutral,0.0,negative,0.9965,1
226,it actually is,it actually is,neutral,0.0,positive,0.9997,1
227,already on android for years,already on android for years,neutral,0.0,negative,0.9745,1
228,sonic yvan saying android has had it for years won’t change peoples perspective on having and using apple products💀 it’s not gonna change anything,sonic yvan saying android has had it for years wont change peoples perspective on having and using apple products its not gonna change anything,neutral,0.0,negative,0.9715,1
229,sonic yvan nobody asked 😋,sonic yvan nobody asked,neutral,0.0,negative,0.9742,2
230,"sonic yvan you may have had it for years but android has always been ugly, still everything apple has that an android had first, looks better on Apple. 🤷🏽‍♀️",sonic yvan you may have had it for years but android has always been ugly still everything apple has that an android had first looks better on apple,negative,-0.1531,negative,0.9993,1
231,unlike Apple it can be customized 3 different ways. As always you have to love choice.,unlike apple it can be customized different ways as always you have to love choice,positive,0.6369,positive,0.9923,2
232,J W your going to judge a feature that is still in beta. Slow your roll.,j w your going to judge a feature that is still in beta slow your roll,neutral,0.0,positive,0.5906,3
233,Especially for PUBG players,especially for pubg players,neutral,0.0,negative,0.9173,3
234,its actually so annoying and thats coming from a samsung fan,its actually so annoying and thats coming from a samsung fan,negative,-0.294,negative,0.9982,1
235,Is it ok to install the beta version,is it ok to install the beta version,positive,0.296,positive,0.9991,3
236,"especially if your playing a game and someone calls you, you can easily swipe it out,",especially if your playing a game and someone calls you you can easily swipe it out,positive,0.5367,negative,0.9616,5
237, @rohan_bpatel  hahhahaa the pain in ass for 10 years in ios  i can feel it 🤣🤣🤣🤣🤣,hahhahaa the pain in ass for years in ios i can feel it,negative,-0.7783,negative,0.6882,1
238,already in jailbreak for years.,already in jailbreak for years,neutral,0.0,negative,0.9871,1
239,jahivan keyword “jailbreak” no one cares bud,jahivan keyword jailbreak no one cares bud,negative,-0.569,negative,0.9992,4
240,"OMG, thats revolutionary features.... !!!!!",omg thats revolutionary features,neutral,0.0,positive,0.9995,2
241,N F huh?,n f huh,neutral,0.0,negative,0.9462,3
242,"1,000th like",th like,positive,0.3612,positive,0.9658,4
243,I know!,i know,neutral,0.0,positive,0.9946,4
